bookname,rating,price,in_stock
A Light in the Attic,3,£51.77,True
Tipping the Velvet,1,£53.74,True
Soumission,1,£50.10,True
Sharp Objects,4,£47.82,True
Sapiens: A Brief History of Humankind,5,£54.23,True
The Requiem Red,1,£22.65,True
The Dirty Little Secrets of Getting Your Dream Job,4,£33.34,True
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",3,£17.93,True
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,4,£22.60,True
The Black Maria,1,£52.15,True
"Starving Hearts (Triangular Trade Trilogy, #1)",2,£13.99,True
Shakespeare's Sonnets,4,£20.66,True
Set Me Free,5,£17.46,True
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),5,£52.29,True
Rip it Up and Start Again,5,£35.02,True
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",3,£57.25,True
Olio,1,£23.88,True
Mesaerion: The Best Science Fiction Stories 1800-1849,1,£37.59,True
Libertarianism for Beginners,2,£51.33,True
It's Only the Himalayas,2,£45.17,True
In Her Wake,1,£12.84,True
How Music Works,2,£37.32,True
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",3,£30.52,True
Chase Me (Paris Nights #2),5,£25.27,True
Black Dust,5,£34.53,True
Birdsong: A Story in Pictures,3,£54.64,True
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,3,£22.50,True
Aladdin and His Wonderful Lamp,3,£53.13,True
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,5,£40.30,True
Wall and Piece,4,£44.18,True
The Four Agreements: A Practical Guide to Personal Freedom,5,£17.66,True
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,3,£31.05,True
The Elephant Tree,5,£23.82,True
The Bear and the Piano,1,£36.89,True
Sophie's World,5,£15.94,True
Penny Maybe,3,£33.29,True
Maude (1883-1993):She Grew Up with the country,2,£18.02,True
"In a Dark, Dark Wood",1,£19.63,True
Behind Closed Doors,4,£52.22,True
You can't bury them all: Poems,2,£33.63,True
